MVP phases,35,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
Parker's Piece sketchmap,34,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
Gibraltar: Wizard Page 4,33,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
Gibraltar: Wizard Page 1,32,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
Gibraltar: Wizard Page 1,31,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
Gibraltar: Web Config,30,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
Gibraltar: Session Details,29,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
Gibraltar: Home Screen,28,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
Gibraltar: Home Screen,27,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
Gibraltar: Charting,26,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
Kudu Admin Settings,25,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
Kudu New Application,24,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
Kudu Application Deployments,23,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
Kudu Application Settings,22,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
IIS Edit Site Bindings,20,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
IIS List Site Bindings,19,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
IIS Set Site Bindings,18,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
IIS Enable Windows Authentication,15,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
IIS Server Authentication,14,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
IIS Create Application,13,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
IIS Add Application,12,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
IIS AppPool Identity,11,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
IIS AppPool Advanced Settings,10,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
IIS Create Application Pool,9,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
IIS Add Application Pool,8,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
Kudu Web.Config,7,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
Azure Preview Git Instructions,6,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
Azure Preview Dashboard,5,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
Azure Preview Create Website,4,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
GiveCRM Setup UI step 2,3,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
GiveCRM Setup UI step 1,2,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
GiveCRM Data Import UI mock-up,1,sites/default/files/images/InitialTweet.thumbnail.png,thumbnail
MVP phases,35,sites/default/files/images/Abstract_factory[1].thumbnail.png,thumbnail
Parker's Piece sketchmap,34,sites/default/files/images/Abstract_factory[1].thumbnail.png,thumbnail
Gibraltar: Wizard Page 4,33,sites/default/files/images/Abstract_factory[1].thumbnail.png,thumbnail
